;
; This file has the covalent radii and a number indicating the color of 
;   a bunch of atoms.
;
H          0.32  7
HE         0.93  0
LI         1.23  6
BE         0.90  5
B          0.82  4
C          0.77  1
N          0.75  3
O          0.73  2
F          0.72  3
NE         0.71  0
NA         1.54  1
MG         1.36  2
AL         1.18  3
SI         1.11  4
P          1.06  5
S          1.02  6
CL         0.99  7
AR         0.98  0
K          2.03  1
CA         1.74  2
SC         1.44  3
TI         1.32  4
V          1.22  5
CR         1.18  6
MN         1.17  7
FE         1.17  0
CO         1.16  1
NI         1.15  2
CU         1.17  0
ZN         1.25  4
GA         1.26  5
GE         1.22  6
AS         1.20  7
SE      1.16  0
BR         1.14  1
KR         1.12  2
RB         2.16  3
SR         1.91  4
Y          1.62  5
ZR         1.45  6
NB         1.34  7
MO         1.30  0
TC         1.27  1
RU         1.25  2
RH         1.25  3
PD         1.28  4
AG         1.34  5
CD         1.48  6
IN         1.44  7
SN         1.41  0
SB         1.40  1
TE         1.36  2
I          1.33  3
XE         1.31  4
CS         2.35  5
BA         1.98  6
LA         1.69  7
CE         1.65  0
PR         1.65  1
ND         1.64  2
PM         1.63  3
SM         1.62  4
EU         1.85  5
GD         1.61  6
TB         1.59  7
DY         1.59  0
HO         1.58  1
ER         1.57  2
TM         1.56  3
YB         1.74  4
LU         1.56  5
HF         1.44  6
TA         1.34  7
W          1.30  0
RE         1.28  1
OS         1.26  2
IR         1.27  3
PT         1.30  4
AU         1.34  5
HG         1.49  6
TL         1.48  7
PB         1.47  0
BI         1.46  1
PO         1.46  2
AT         1.45  3
; the dummy atom
&        0.2   0
