;
; This file has the covalent radii and a number indicating the color of 
;   a bunch of atoms as well as c_i and r_i values for 
;    bond length->bond valence calculations
;
;  These are values of r_i and c_i taken from Table 1 of:
;   M. O'Keeffe and N. E. Brese, JACS vol 113 3226--3229 (1991)
;  the values are used in Equation 3.
;
; Column 1: atomic symbol
; column 2: covalent radius
; column 3: color tab
; Column 2: c_i
; Column 3: r_i
H          0.32  7 0.89 0.38
HE         0.93  0 0    0
LI         1.23  6 0.97 1.00 
BE         0.90  5        1.47 0.81 
B          0.82  4        1.60 0.79  
C          0.77  1        2.00 0.78  
N          0.75  3        2.61 0.72  
O          0.73  2        3.15 0.63  
F          0.72  3        3.98 0.58  
NE         0.71  0 0    0
NA         1.54  1 1.01 1.36
MG         1.36  2        1.23 1.21
AL         1.18  3        1.47 1.13
SI         1.11  4        1.58 1.12
P          1.06  5        1.96 1.09
S          1.02  6        2.35 1.03
CL         0.99  7        2.74 0.99
AR         0.98  0 0    0
K          2.03  1 0.91 1.73
CA         1.74  2        1.04 1.50
SC         1.44  3        1.20 1.34
TI         1.32  4        1.32 1.27
V          1.22  5        1.45 1.21
CR         1.18  6        1.56 1.16
MN         1.17  7        1.60 1.17
FE         1.17  0        1.64 1.16
CO         1.16  1        1.70 1.09
NI         1.15  2        1.75 1.04
CU         1.17  0        1.75 0.87
ZN         1.25  4        1.66 1.07
GA         1.26  5        1.82 1.14
GE         1.22  6        1.51 1.21
AS         1.20  7        2.23 1.21
SE      1.16  0        2.51 1.18
BR         1.14  1        2.58 1.13
KR         1.12  2 0    0
RB         2.16  3 0.89 1.84
SR         1.91  4        0.99 1.66
Y          1.62  5        1.11 1.52
ZR         1.45  6        1.22 1.43
NB         1.34  7        1.23 1.40
MO         1.30  0        1.30 1.37
TC         1.27  1 0    0
RU         1.25  2 1.42 1.21
RH         1.25  3        1.54 1.18
PD         1.28  4        1.35 1.11
AG         1.34  5        1.42 1.12
CD         1.48  6        1.46 1.28
IN         1.44  7        1.49 1.34
SN         1.41  0        1.72 1.37
SB         1.40  1        1.72 1.41
TE         1.36  2        2.72 1.40
I          1.33  3        2.38 1.33
XE         1.31  4 0    0
CS         2.35  5 0.86 2.05
BA         1.98  6        0.97 1.88
LA         1.69  7        1.08 1.71
CE         1.65  0        1.08 1.68
PR         1.65  1        1.07 1.66
ND         1.64  2        1.07 1.64
PM         1.63  3 0    0
SM         1.62  4 1.07 1.61
EU         1.85  5        1.01 1.62
GD         1.61  6        1.11 1.58
TB         1.59  7        1.10 1.56
DY         1.59  0        1.10 1.54
HO         1.58  1        1.10 1.53
ER         1.57  2        1.11 1.51
TM         1.56  3        1.11 1.50
YB         1.74  4        1.06 1.49
LU         1.56  5        1.14 1.47
HF         1.44  6        1.23 1.42
TA         1.34  7        1.33 1.39
W          1.30  0        1.40 1.38
RE         1.28  1        1.46 1.37
OS         1.26  2 0    0
IR         1.27  3 1.55 1.37
PT         1.30  4 0    0
AU         1.34  5 0    0
HG         1.49  6 1.44 1.32
TL         1.48  7        1.44 1.62
PB         1.47  0        1.55 1.53
BI         1.46  1        1.67 1.54
PO         1.46  2 0    0
AT         1.45  3 0    0
; the dummy atom
&        0.2   0 0    0
